,VERSION,TESTNAME
38,5,org.joda.time.TestPeriod_Basics.testNormalizedStandard_periodType_months2
39,5,org.joda.time.TestPeriod_Basics.testNormalizedStandard_periodType_monthsWeeks
40,10,org.joda.time.TestDays.testFactory_daysBetween_RPartial_MonthDay
41,10,org.joda.time.TestMonths.testFactory_monthsBetween_RPartial_MonthDay
42,6,org.joda.time.chrono.TestGJDate.test_cutoverPreZero
43,6,org.joda.time.chrono.TestGJDate.test_plusWeekyears_positiveToNegative_crossCutover
44,6,org.joda.time.chrono.TestGJDate.test_plusYears_positiveToZero_crossCutover
45,6,org.joda.time.chrono.TestGJDate.test_plusYears_positiveToNegative_crossCutover
46,6,org.joda.time.chrono.TestGJDate.test_plusWeekyears_positiveToZero_crossCutover
47,13,org.joda.time.format.TestISOPeriodFormat.testFormatStandard_negative
48,19,org.joda.time.TestDateTimeZoneCutover.testDateTimeCreation_london
49,23,org.joda.time.TestDateTimeZone.testForID_String_old
50,24,org.joda.time.format.TestDateTimeFormatter.testParseLocalDate_weekyear_month_week_2010
51,24,org.joda.time.format.TestDateTimeFormatter.testParseLocalDate_weekyear_month_week_2011
52,24,org.joda.time.format.TestDateTimeFormatter.testParseLocalDate_weekyear_month_week_2012
53,24,org.joda.time.format.TestDateTimeFormatter.testParseLocalDate_year_month_week_2010
54,24,org.joda.time.format.TestDateTimeFormatter.testParseLocalDate_year_month_week_2011
55,24,org.joda.time.format.TestDateTimeFormatter.testParseLocalDate_year_month_week_2012
56,24,org.joda.time.format.TestDateTimeFormatter.testParseLocalDate_year_month_week_2016
57,27,org.joda.time.format.TestPeriodFormatterBuilder.testBug2495455
58,9,org.joda.time.TestDateTimeZone.testForOffsetHoursMinutes_int_int
59,22,org.joda.time.TestDuration_Basics.testToPeriod_fixedZone
60,22,org.joda.time.TestPeriod_Constructors.testConstructor_long_fixedZone
61,15,org.joda.time.field.TestFieldUtils.testSafeMultiplyLongInt
62,17,org.joda.time.TestDateTimeZoneCutover.testBug3476684_adjustOffset
63,4,org.joda.time.TestPartial_Basics.testWith3
64,3,org.joda.time.TestMutableDateTime_Adds.testAddYears_int_dstOverlapWinter_addZero
65,3,org.joda.time.TestMutableDateTime_Adds.testAddDays_int_dstOverlapWinter_addZero
66,3,org.joda.time.TestMutableDateTime_Adds.testAddWeeks_int_dstOverlapWinter_addZero
67,3,org.joda.time.TestMutableDateTime_Adds.testAdd_DurationFieldType_int_dstOverlapWinter_addZero
68,3,org.joda.time.TestMutableDateTime_Adds.testAddMonths_int_dstOverlapWinter_addZero
69,25,org.joda.time.TestDateTimeZoneCutover.test_DateTime_constructor_Moscow_Autumn
70,25,org.joda.time.TestDateTimeZoneCutover.test_getOffsetFromLocal_Moscow_Autumn_overlap_mins
71,25,org.joda.time.TestDateTimeZoneCutover.test_getOffsetFromLocal_Moscow_Autumn
72,8,org.joda.time.TestDateTimeZone.testForOffsetHoursMinutes_int_int
73,2,org.joda.time.TestPartial_Basics.testWith_baseAndArgHaveNoRange
74,21,org.joda.time.TestDateTimeZone.testGetName_berlin
75,21,org.joda.time.TestDateTimeZone.testGetShortName_berlin
