,ORACLE,NUM_STAT,NUM_EXECSTAT,NUM_COND,NUM_EXECCOND,NUM_MODULO,NUM_EXECMODULO,NUM_MULT,NUM_EXECMULT,NUM_DIV,NUM_EXECDIV,NUM_INVOKE,NUM_EXECINVOKE,CLASS_STACK_SIZE,COUNT,TESTNAME,PROJECT,VERSION,FAIL
28,Time Bug 25 - Strong Oracle,507,2342,14,107,2,7,0,0,1,6,103,316,0,1,org.joda.time.TestDateMidnight_Properties.testPropertyGetDayOfWeek,TIME,25,False
29,Time Bug 25 - Strong Oracle,1435,9555,136,1071,2,12,0,0,3,15,184,1079,0,1,org.joda.time.format.TestDateTimeFormatStyle.testForStyle_fullDate,TIME,25,False
30,Time Bug 25 - Strong Oracle,886,2050,84,237,2,6,5,5,7,13,99,185,0,1,org.joda.time.TestMutableDateTime_Sets.testSetMilliOfSecond_int1,TIME,25,False
31,Time Bug 25 - Strong Oracle,950,17416,93,1897,3,67,4,28,5,82,104,1658,0,1,org.joda.time.TestDateTime_Properties.testPropertyAddDayOfWeek,TIME,25,False
32,Time Bug 24 - Strong Oracle,255,486,17,40,0,0,0,0,2,4,38,51,0,1,org.joda.time.format.TestDateTimeFormat.testFormatParse_textMonthJanLong_France,TIME,24,False
33,Time Bug 25 - Strong Oracle,339,1327,19,96,0,0,1,3,1,3,43,108,0,5,org.joda.time.TestMutablePeriod_Updates.testSetPeriod_long_long_NoMonths,TIME,25,False
34,Time Bug 22 - Strong Oracle,32,32,4,4,0,0,0,0,0,0,4,4,0,1,org.joda.time.TestPeriod_Basics.testWithPeriodType1,TIME,22,False
35,Time Bug 26 - Strong Oracle,341,485,29,42,0,0,0,0,2,2,39,45,0,4,org.joda.time.TestMonthDay_Basics.testToDateTime_RI,TIME,26,False
36,Time Bug 19 - Strong Oracle,276,448,23,36,1,1,0,0,0,0,37,49,0,2,org.joda.time.TestDateMidnight_Constructors.testParse_noFormatter,TIME,19,False
37,Time Bug 26 - Strong Oracle,127,170,10,14,0,0,0,0,0,0,11,13,0,1,org.joda.time.TestDateMidnight_Constructors.testConstructor_DateTimeZone,TIME,26,False
38,Time Bug 26 - Strong Oracle,315,785,22,68,1,3,0,0,2,4,38,65,0,4,org.joda.time.TestDateMidnight_Properties.testPropertySetTextMonthOfYear,TIME,26,False
39,Time Bug 25 - Strong Oracle,858,1828,73,198,5,9,3,3,5,9,97,170,0,3,org.joda.time.TestDateTime_Properties.testPropertyRoundHalfCeilingHourOfDay,TIME,25,False
40,Time Bug 25 - Strong Oracle,915,693793,59,51342,2,1470,5,736,3,4394,127,68285,0,2,org.joda.time.format.TestTextFields.testWeekdayNames,TIME,25,False
41,Time Bug 5 - Strong Oracle,66,141,4,13,0,0,0,0,0,0,10,14,0,2,org.joda.time.TestPeriod_Basics.testNormalizedStandard_periodType_yearMonth3,TIME,5,False
42,Time Bug 24 - Strong Oracle,521,5078,54,649,0,0,0,0,0,0,67,515,0,2,org.joda.time.format.TestISODateTimeFormatParsing.test_hourMinuteSecond,TIME,24,False
43,Time Bug 24 - Strong Oracle,281,371,26,40,1,1,2,2,3,3,41,51,0,1,org.joda.time.TestStringConvert.testLocalTime,TIME,24,False
44,Time Bug 25 - Strong Oracle,208,617,10,42,1,4,0,0,1,4,23,55,0,1,org.joda.time.TestTimeOfDay_Constructors.testConstructor_ObjectString5,TIME,25,False
45,Time Bug 16 - Strong Oracle,2473,35056,211,3304,7,391,8,142,6,235,296,2962,0,1,org.joda.time.format.TestDateTimeFormatter.testParseInto_monthDay_feb29,TIME,16,True
46,Time Bug 19 - Strong Oracle,1624,12286,119,1077,6,45,7,47,7,83,193,1091,0,2,org.joda.time.TestDateTime_Properties.testPropertyAddWrapFieldMonthOfYear,TIME,19,False
47,Time Bug 25 - Strong Oracle,1191,8388,82,663,4,40,4,36,6,68,151,762,0,1,org.joda.time.TestLocalTime_Constructors.testConstructor_DateTimeZone,TIME,25,False
48,Time Bug 25 - Strong Oracle,1325,4044,108,476,4,18,3,6,4,11,148,349,0,1,org.joda.time.format.TestDateTimeFormatter.testParseMutableDateTime_offsetParsed,TIME,25,False
49,Time Bug 24 - Strong Oracle,488,1402,23,106,1,5,1,1,3,13,87,157,0,1,org.joda.time.TestLocalDateTime_Constructors.testConstructor_Object_ChronologyMoscowBadDateTime,TIME,24,False
50,Time Bug 24 - Strong Oracle,286,593,23,40,0,0,0,0,1,3,45,88,0,2,org.joda.time.chrono.TestISOChronology.testMaxYear,TIME,24,False
51,Time Bug 12 - Strong Oracle 2,1861,12812,146,1365,8,44,10,20,7,44,275,1350,0,1,org.joda.time.TestLocalDateTime_Constructors.testFactory_fromDateFields_beforeYearZero1,TIME,12,True
52,Time Bug 25 - Strong Oracle,319,1277,10,47,1,6,0,0,1,6,59,178,0,1,org.joda.time.TestDateTime_Properties.testPropertyGetHourOfDay,TIME,25,False
53,Time Bug 26 - Strong Oracle,683,1694,62,189,3,8,1,1,3,8,77,155,0,1,org.joda.time.TestMutableDateTime_Properties.testPropertySetMonthOfYear,TIME,26,False
54,Time Bug 26 - Strong Oracle,127,170,10,14,0,0,0,0,0,0,11,13,0,1,org.joda.time.TestDateMidnight_Constructors.testConstructor_long1_DateTimeZone,TIME,26,False
55,Time Bug 22 - Strong Oracle,246,1257,6,132,0,0,0,0,0,0,59,118,0,1,org.joda.time.TestMutablePeriod_Updates.testAdd_8ints1,TIME,22,False
56,Time Bug 25 - Strong Oracle,986,3338,78,345,6,20,3,3,6,14,118,279,0,3,org.joda.time.TestDateMidnight_Properties.testPropertyRoundHalfCeilingMonthOfYear,TIME,25,False
57,Time Bug 25 - Strong Oracle,827,1785,89,226,2,4,4,4,7,11,87,163,0,1,org.joda.time.TestMutableDateTime_Basics.testRounding6,TIME,25,False
58,Time Bug 25 - Strong Oracle,602,2410,35,168,1,11,1,1,3,15,99,257,0,1,org.joda.time.TestMutableDateTime_Sets.testSetTime_RI2,TIME,25,False
59,Time Bug 25 - Strong Oracle,312,1115,10,41,1,5,0,0,1,5,57,156,0,1,org.joda.time.TestMutableDateTime_Properties.testPropertyGetMinuteOfHour,TIME,25,False
60,Time Bug 20 - Strong Oracle 1,642,7810,65,1806,0,0,0,0,0,0,75,1812,0,1,org.joda.time.format.TestDateTimeFormatterBuilder.test_appendTimeZoneId,TIME,20,False
61,Time Bug 19 - Strong Oracle,535,1240,54,157,0,0,0,0,0,0,62,124,0,5,org.joda.time.format.TestISODateTimeFormatParsing.test_ordinalDate,TIME,19,False
62,Time Bug 21 - Strong Oracle,207,216,21,24,0,0,3,3,2,2,18,18,0,2,org.joda.time.TestDateTimeZone.testPatchedNameKeysSydneyHistoric,TIME,21,False
63,Time Bug 19 - Strong Oracle,181,198,18,19,0,0,0,0,0,0,21,22,0,2,org.joda.time.TestYearMonth_Basics.testToInterval,TIME,19,False
64,Time Bug 22 - Strong Oracle,1243,5285,82,438,0,0,4,8,4,11,146,420,0,1,org.joda.time.TestMutablePeriod_Updates.testAdd_RInterval1,TIME,22,False
65,Time Bug 14 - Strong Oracle,632,1607,41,134,2,3,4,5,4,11,75,148,0,2,org.joda.time.TestMonthDay_Properties.testPropertyAddMonthOfYear,TIME,14,False
66,Time Bug 25 - Strong Oracle,310,436,24,39,0,0,2,2,1,1,35,40,0,8,org.joda.time.TestInterval_Constructors.testParse_noFormatter,TIME,25,False
67,Time Bug 25 - Strong Oracle,841,2288,73,249,3,11,4,4,5,13,97,204,0,1,org.joda.time.TestMutableDateTime_Properties.testPropertySetDayOfMonth,TIME,25,False
68,Time Bug 25 - Strong Oracle,312,725,16,49,1,4,0,0,1,4,42,74,0,1,org.joda.time.TestTimeOfDay_Constructors.testConstructor_nullDateTimeZone,TIME,25,False
69,Time Bug 26 - Strong Oracle,393,500,21,38,0,0,0,0,0,0,66,70,0,2,org.joda.time.TestDateMidnight_Constructors.testConstructor_int_int_int_Chronology,TIME,26,False
70,Time Bug 25 - Strong Oracle,328,1321,24,104,1,4,0,0,0,0,50,146,0,2,org.joda.time.TestDateMidnight_Basics.testWithZoneRetainFields_DateTimeZone,TIME,25,False
71,Time Bug 24 - Strong Oracle,569,1316,36,91,1,4,2,2,4,9,71,117,0,1,org.joda.time.TestDateTime_Constructors.testConstructor_ObjectString6,TIME,24,False
72,Time Bug 25 - Strong Oracle,256,405,15,23,0,0,0,0,0,0,37,44,0,1,org.joda.time.TestMutablePeriod_Constructors.testConstructor_RI_RD2,TIME,25,False
73,Time Bug 26 - Strong Oracle,435,1774,16,78,0,0,0,0,1,5,84,240,0,1,org.joda.time.TestDateMidnight_Properties.testPropertyGetYear,TIME,26,False
74,Time Bug 26 - Strong Oracle,682,1344,34,97,2,2,5,5,4,7,97,142,0,7,org.joda.time.TestLocalDate_Basics.testToDateTime_LocalTime_nullZone,TIME,26,False
75,Time Bug 26 - Strong Oracle,4155,76713,252,7099,4,4,14,49,5,9,613,11058,0,7,org.joda.time.TestChronology.testToString,TIME,26,False
76,Time Bug 19 - Strong Oracle,984,1043760,69,77456,2,2206,5,1106,3,6591,131,102573,0,1,org.joda.time.format.TestTextFields.testWeekdayNames,TIME,19,False
77,Time Bug 25 - Strong Oracle,1369,15856,133,1791,2,12,5,16,4,14,150,1394,0,8,org.joda.time.format.TestISODateTimeFormatParsing.test_dateTimeParser,TIME,25,False
78,Time Bug 26 - Strong Oracle,228,323,20,28,1,1,0,0,1,1,21,25,0,14,org.joda.time.TestDateTime_Basics.testPlus_RP,TIME,26,False
79,Time Bug 25 - Strong Oracle,256,405,15,23,0,0,0,0,0,0,37,44,0,1,org.joda.time.TestPeriod_Constructors.testConstructor_RD_RI2,TIME,25,False
80,Time Bug 24 - Strong Oracle,177,3530,16,333,1,28,0,0,0,0,22,394,0,7,org.joda.time.TestDateTimeComparator.testListTime,TIME,24,False
81,Time Bug 26 - Strong Oracle,830,1841,75,204,2,5,3,3,5,10,93,170,0,1,org.joda.time.TestDateTimeZoneCutover.test_DateTime_setHourAcross_NewYork_Spring,TIME,26,False
82,Time Bug 26 - Strong Oracle,157,217,13,20,0,0,0,0,0,0,15,18,0,1,org.joda.time.TestDateMidnight_Constructors.testConstructor_long2_Chronology,TIME,26,False
83,Time Bug 4 - Strong Oracle,447,684,44,57,0,0,0,0,0,0,80,105,0,2,org.joda.time.TestPartial_Basics.testGetFormatter2,TIME,4,False
84,Time Bug 25 - Strong Oracle,275,306,24,26,0,0,0,0,0,0,33,35,0,2,org.joda.time.TestInterval_Constructors.testConstructor_Object_Chronology2,TIME,25,False
85,Time Bug 25 - Strong Oracle,2699,18007,224,1479,4,30,5,38,6,66,342,2057,0,1,org.joda.time.TestYearMonthDay_Constructors.testConstructor_DateTimeZone,TIME,25,False
86,Time Bug 25 - Strong Oracle,237,377,15,22,0,0,0,0,0,0,36,43,0,1,org.joda.time.TestMutablePeriod_Updates.testSetPeriod_RI_RI3,TIME,25,False
87,Time Bug 26 - Strong Oracle,668,1446,34,104,1,2,5,5,3,8,96,151,0,3,org.joda.time.TestLocalDate_Basics.testToDateTime_nullLocalTime,TIME,26,False
88,Time Bug 25 - Strong Oracle,1623,12725,132,1094,5,45,7,50,8,92,188,1101,0,1,org.joda.time.TestMutableDateTime_Sets.testSetMonthOfYear_int1,TIME,25,False
89,Time Bug 25 - Strong Oracle,2393,17705,201,1789,7,82,6,37,8,69,328,1688,0,1,org.joda.time.TestMutableDateTime_Properties.testPropertyAddWrapFieldDayOfWeek,TIME,25,False
90,Time Bug 25 - Strong Oracle,186,200,15,16,0,0,0,0,0,0,21,22,0,2,org.joda.time.TestMutableInterval_Constructors.testConstructor_RI_RI9,TIME,25,False
91,Time Bug 26 - Strong Oracle,223,318,20,28,1,1,0,0,1,1,20,24,0,14,org.joda.time.TestDateTime_Basics.testMinusMillis_int,TIME,26,False
92,Time Bug 26 - Strong Oracle,88,131,8,12,0,0,0,0,0,0,6,8,0,2,org.joda.time.TestDateTimeComparator.testNullDT,TIME,26,False
93,Time Bug 25 - Strong Oracle,376,826,33,117,0,0,0,0,0,0,36,53,0,2,org.joda.time.TestDuration_Constructors.testConstructor_Object5,TIME,25,False
94,Time Bug 25 - Strong Oracle,205,216,19,20,0,0,0,0,0,0,26,26,0,2,org.joda.time.TestDateTime_Basics.testWithFields_RPartial,TIME,25,False
95,Time Bug 25 - Strong Oracle,385,1495,16,71,1,5,0,0,1,5,65,196,0,1,org.joda.time.TestMutableDateTime_Properties.testPropertyGetYearOfCentury,TIME,25,False
96,Time Bug 19 - Strong Oracle,218,375,18,33,1,1,0,0,0,0,23,30,0,2,org.joda.time.TestLocalDate_Basics.testToDateMidnight_nullZone,TIME,19,False
97,Time Bug 24 - Strong Oracle,306,579,29,69,0,0,4,10,2,4,40,68,0,3,org.joda.time.TestDateTimeZone.testForOffsetHoursMinutes_int_int,TIME,24,False
98,Time Bug 25 - Strong Oracle,585,746,45,72,1,2,7,8,2,2,71,77,0,1,org.joda.time.tz.TestCompiler.test_Amman_2004,TIME,25,False
99,Time Bug 26 - Strong Oracle,832,3170,74,373,5,14,2,4,6,18,90,296,0,1,org.joda.time.TestDateTime_Properties.testPropertySetTextYear,TIME,26,False
100,Time Bug 25 - Strong Oracle,83,83,7,7,0,0,0,0,0,0,5,5,0,1,org.joda.time.TestDateTime_Basics.testWithFieldAdded4,TIME,25,False
101,Time Bug 1 - Strong Oracle,342,1553,31,161,0,0,0,0,0,0,61,216,0,1,org.joda.time.TestPartial_Constructors.testConstructorEx8_TypeArray_intArray,TIME,1,False
102,Time Bug 1 - Strong Oracle,327,1200,31,119,0,0,0,0,0,0,59,169,0,1,org.joda.time.TestPartial_Constructors.testConstructorEx8_TypeArray_intArray,TIME,1,False
103,Time Bug 25 - Strong Oracle,450,2038,30,177,0,0,1,3,1,3,58,167,0,5,org.joda.time.TestMutablePeriod_Updates.testAdd_RInterval4,TIME,25,False
104,Time Bug 25 - Strong Oracle,1620,5349,144,600,3,7,3,5,5,10,216,591,0,1,org.joda.time.format.TestDateTimeFormatStyle.testForStyle_shortLongDateTime,TIME,25,False
105,Time Bug 25 - Strong Oracle,445,1430,33,145,0,0,1,3,1,3,48,97,0,6,org.joda.time.TestMutablePeriod_Constructors.testConstructor_RI_RI_PeriodType3,TIME,25,False
106,Time Bug 25 - Strong Oracle,475,3690,37,322,0,0,1,5,2,15,48,306,0,3,org.joda.time.TestMonths.testFactory_monthsBetween_RInstant,TIME,25,False
107,Time Bug 26 - Strong Oracle,153,239,11,19,1,1,0,0,1,1,11,15,0,3,org.joda.time.field.TestOffsetDateTimeField.test_addWrapField_long_int,TIME,26,False
108,Time Bug 24 - Strong Oracle,255,486,17,40,0,0,0,0,2,4,38,51,0,1,org.joda.time.format.TestDateTimeFormat.testFormatParse_textMonthJanLongLowerCase_UK,TIME,24,False
109,Time Bug 22 - Strong Oracle,83,226,3,10,0,0,0,0,0,0,18,25,0,1,org.joda.time.TestPeriod_Constructors.testConstructor_long2,TIME,22,False
110,Time Bug 25 - Strong Oracle,797,1672,81,210,2,4,5,5,7,11,82,152,0,2,org.joda.time.TestMutableDateTime_Adds.testAddDays_int1,TIME,25,False
111,Time Bug 24 - Strong Oracle,1016,7761,70,671,3,8,3,12,4,50,144,781,0,24,org.joda.time.chrono.TestGJChronology.testCutoverAddDays,TIME,24,False
112,Time Bug 26 - Strong Oracle,666,1518,57,159,2,4,1,2,3,7,81,147,0,9,org.joda.time.TestDateTime_Properties.testPropertyAddDayOfYear,TIME,26,False
113,Time Bug 24 - Strong Oracle,255,486,17,40,0,0,0,0,2,4,38,51,0,1,org.joda.time.format.TestDateTimeFormat.testParse_textMonthJanLong_UK,TIME,24,False
114,Time Bug 26 - Strong Oracle,666,1518,57,159,2,4,1,2,3,7,81,147,0,4,org.joda.time.TestDateTime_Properties.testPropertyAddWrapFieldWeekOfWeekyear,TIME,26,False
115,Time Bug 26 - Strong Oracle,613,1015,33,75,1,1,5,5,2,2,82,103,0,3,org.joda.time.TestYearMonthDay_Basics.testToDateTime_nullTOD_Zone,TIME,26,False
116,Time Bug 24 - Strong Oracle,623,2417,57,258,1,1,2,2,4,10,90,309,0,1,org.joda.time.format.TestDateTimeFormatter.testParseLocalDate_year_month_week_2011,TIME,24,True
117,Time Bug 26 - Strong Oracle,766,1759,69,197,2,5,3,3,5,10,89,165,0,1,org.joda.time.TestDateTimeZoneCutover.test_DateTime_setHourAcross_Moscow_Spring,TIME,26,False
118,Time Bug 24 - Strong Oracle,774,34620,73,4218,0,0,0,0,0,0,90,2971,0,3,org.joda.time.format.TestISODateTimeFormatParsing.test_localDateParser,TIME,24,False
119,Time Bug 25 - Strong Oracle,175,192,17,18,0,0,0,0,0,0,21,22,0,2,org.joda.time.TestYearMonth_Basics.testToInterval_Zone,TIME,25,False
120,Time Bug 26 - Strong Oracle,321,442,24,34,1,1,0,0,2,2,39,44,0,6,org.joda.time.TestLocalDate_Basics.testToDateTimeAtCurrentTime_nullZone,TIME,26,False
121,Time Bug 24 - Strong Oracle,268,520,21,51,2,6,0,0,2,4,38,51,0,1,org.joda.time.format.TestDateTimeFormat.testFormatParse_textMonthAtEnd_France,TIME,24,False
122,Time Bug 26 - Strong Oracle,321,442,24,34,1,1,0,0,2,2,39,44,0,6,org.joda.time.TestYearMonthDay_Basics.testToDateTimeAtCurrentTime,TIME,26,False
123,Time Bug 25 - Strong Oracle,119,119,9,9,0,0,0,0,0,0,10,10,0,1,org.joda.time.TestDateTime_Constructors.testConstructor_int_int_int_int_int_DateTimeZone,TIME,25,False
124,Time Bug 24 - Strong Oracle,514,3272,54,411,0,0,0,0,0,0,61,326,0,4,org.joda.time.format.TestISODateTimeFormatParsing.test_basicTime,TIME,24,False
125,Time Bug 24 - Strong Oracle,1411,10309,94,835,4,26,3,16,4,48,184,869,0,2,org.joda.time.convert.TestStringConverter.testSetIntoInterval_Object_Chronology7,TIME,24,False
126,Time Bug 24 - Strong Oracle,502,1416,25,108,1,5,1,1,3,13,87,157,0,1,org.joda.time.TestLocalDateTime_Constructors.testConstructor_Object_DateTimeZoneMoscow,TIME,24,False
127,Time Bug 24 - Strong Oracle,2051,10071,175,830,1,2,7,14,0,0,278,1421,0,2,org.joda.time.convert.TestStringConverter.testSetIntoInterval_Object_Chronology6,TIME,24,False
128,Time Bug 25 - Strong Oracle,152,155,12,12,0,0,0,0,0,0,18,18,0,2,org.joda.time.TestInterval_Constructors.testConstructor_long_long3,TIME,25,False
129,Time Bug 25 - Strong Oracle,448,1895,29,163,0,0,1,3,1,3,58,154,0,4,org.joda.time.TestMutablePeriod_Updates.testAdd_RInterval1,TIME,25,False
130,Time Bug 25 - Strong Oracle,923,3374,77,383,5,17,4,6,6,20,110,321,0,2,org.joda.time.TestDateTime_Properties.testPropertyAddWrapFieldDayOfWeek,TIME,25,False
131,Time Bug 25 - Strong Oracle,367,1139,21,82,1,4,0,0,3,8,56,104,0,2,org.joda.time.TestMutableDateTime_Sets.testSetTime_int_int_int_int1,TIME,25,False
132,Time Bug 21 - Strong Oracle,152,181,17,24,0,0,2,2,2,2,16,18,0,1,org.joda.time.format.TestDateTimeFormatStyle.testForStyle_longTime,TIME,21,False
133,Time Bug 25 - Strong Oracle,1671,8985,152,744,0,0,3,5,0,0,222,1280,0,1,org.joda.time.TestMutableDateTime_Sets.testSetZoneRetainFields_DateTimeZone3,TIME,25,False
134,Time Bug 25 - Strong Oracle,858,1828,73,198,5,9,3,3,5,9,97,170,0,4,org.joda.time.TestDateTime_Properties.testPropertyRoundHalfEvenHourOfDay,TIME,25,False
135,Time Bug 25 - Strong Oracle,224,328,17,34,0,0,2,2,1,1,16,21,0,2,org.joda.time.TestMutableInterval_Constructors.testConstructor_RI_RP1,TIME,25,False
136,Time Bug 26 - Strong Oracle,146,189,12,16,0,0,0,0,0,0,14,16,0,1,org.joda.time.TestDateMidnight_Constructors.testConstructor_long1_Chronology,TIME,26,False
137,Time Bug 24 - Strong Oracle,267,741,11,39,1,12,1,4,1,12,51,95,0,1,org.joda.time.TestLocalTime_Constructors.testConstructor_ObjectString4,TIME,24,False
138,Time Bug 24 - Strong Oracle,551,8441,57,1133,0,0,0,0,0,0,66,730,0,4,org.joda.time.format.TestISODateTimeFormatParsing.test_basicWeekDateTime,TIME,24,False
139,Time Bug 22 - Strong Oracle,715,16377,80,2676,2,12,1,12,2,12,78,1105,0,1,org.joda.time.format.TestISOPeriodFormat.testFormatAlternate,TIME,22,False
140,Time Bug 26 - Strong Oracle,228,323,20,28,1,1,0,0,1,1,21,25,0,14,org.joda.time.TestDateTime_Basics.testMinus_RP,TIME,26,False
141,Time Bug 26 - Strong Oracle,578,2153,33,180,1,4,4,12,0,0,81,239,0,2,org.joda.time.TestMutableDateTime_Properties.testPropertyToIntervalYearOfEra,TIME,26,False
142,Time Bug 13 - Strong Oracle 1,530,3747,56,656,2,4,1,5,2,4,67,240,0,4,org.joda.time.format.TestPeriodFormatterBuilder.testFormatSecondsWithOptionalMillis,TIME,13,False
143,Time Bug 25 - Strong Oracle,2567,41429,197,3967,9,237,4,114,7,219,313,3541,0,2,org.joda.time.format.TestDateTimeFormatter.testParseDateTime_chrono,TIME,25,False
144,Time Bug 19 - Strong Oracle,218,375,18,33,1,1,0,0,0,0,23,30,0,2,org.joda.time.TestYearMonthDay_Basics.testToDateMidnight_nullZone,TIME,19,False
145,Time Bug 26 - Strong Oracle,485,1889,30,139,1,2,2,2,3,12,58,185,0,1,org.joda.time.TestDateMidnight_Basics.testToYearMonthDay,TIME,26,False
146,Time Bug 25 - Strong Oracle,820,1802,71,198,3,7,4,4,5,9,92,166,0,1,org.joda.time.TestMutableDateTime_Properties.testPropertyAddDayOfYear,TIME,25,False
147,Time Bug 19 - Strong Oracle,237,390,17,32,1,1,0,0,0,0,28,34,0,3,org.joda.time.TestDateMidnight_Properties.testPropertyToIntervalDayOfMonth,TIME,19,False
148,Time Bug 25 - Strong Oracle,386,450,20,33,0,0,0,0,0,0,65,67,0,2,org.joda.time.TestDateTime_Constructors.testConstructor_int_int_int_int_int_int_int_Chronology,TIME,25,False
149,Time Bug 25 - Strong Oracle,398,1393,22,77,1,2,0,0,1,2,61,177,0,2,org.joda.time.TestDateTime_Properties.testPropertyGetMonthOfYear,TIME,25,False
150,Time Bug 24 - Strong Oracle,959,4101,76,372,5,36,4,17,6,29,103,339,0,14,org.joda.time.convert.TestStringConverter.testGetInstantMillis_Object,TIME,24,False
