,Unnamed: 0,ORACLE,NUM_STAT,NUM_EXECSTAT,NUM_COND,NUM_EXECCOND,NUM_MODULO,NUM_EXECMODULO,NUM_MULT,NUM_EXECMULT,NUM_DIV,NUM_EXECDIV,NUM_INVOKE,NUM_EXECINVOKE,CLASS_STACK_SIZE,COUNT,TESTNAME,PROJECT,VERSION
20,20,Lang Bug 26 - Weak Oracle,380,2300,40,272,2,15,2,3,3,24,46,215,0,3,org.apache.commons.lang3.time.DateUtilsRoundingTest.testRoundHour,LANG,26
21,21,Lang Bug 34 - Weak Oracle,227,252,33,37,0,0,0,0,0,0,38,39,0,3,org.apache.commons.lang3.builder.SimpleToStringStyleTest.testAppendSuper,LANG,34
22,22,Lang Bug 64 - Weak Oracle,17,17,2,2,0,0,0,0,0,0,4,4,0,1,org.apache.commons.lang.enums.ValuedEnumTest.testCompareTo_nonEnumType,LANG,64
23,23,Lang Bug 6 - Weak Oracle,29,146,6,33,0,0,0,0,0,0,4,18,0,1,org.apache.commons.lang3.text.translate.NumericEntityUnescaperTest.testSupplementaryUnescaping,LANG,6
24,24,Lang Bug 34 - Weak Oracle,280,336,35,41,0,0,0,0,0,0,45,52,0,1,org.apache.commons.lang3.builder.NoFieldNamesToStringStyleTest.testPerson,LANG,34
25,25,Lang Bug 25 - Weak Oracle,1316,1341651,162,194005,0,0,1,196,0,0,201,110253,0,2,org.apache.commons.lang3.reflect.TypeUtilsTest.testIsAssignable,LANG,25
26,26,Lang Bug 18 - Weak Oracle,579,2400,51,315,0,0,3,14,0,0,68,248,0,2,org.apache.commons.lang3.time.FastDateFormatTest.test_changeDefault_Locale_DateTimeInstance,LANG,18
27,27,Lang Bug 64 - Weak Oracle,7,7,1,1,0,0,0,0,0,0,2,2,0,1,org.apache.commons.lang.enums.ValuedEnumTest.testCompareTo_null,LANG,64
28,28,Lang Bug 42 - Weak Oracle,248,444,32,57,1,3,1,1,0,0,34,56,0,1,org.apache.commons.lang.StringEscapeUtilsTest.testEscapeHtmlHighUnicode,LANG,42
29,29,Lang Bug 10 - Weak Oracle,579,50137,42,5060,1,11,0,0,0,0,104,8092,0,64,org.apache.commons.lang3.time.FastDateParserTest.testLocales_ShortNoEra_BC,LANG,10
30,30,Lang Bug 4 - Weak Oracle,147,2393,18,491,0,0,1,1,0,0,24,786,0,3,org.apache.commons.lang3.StringEscapeUtilsTest.testEscapeHtmlHighUnicode,LANG,4
31,31,Lang Bug 1 - Weak Oracle,17,17,1,1,0,0,0,0,0,0,4,4,0,6,org.apache.commons.lang3.StringUtilsTest.testJoin_ArrayChar,LANG,1
32,32,Lang Bug 48 - Weak Oracle,59,68,10,13,0,0,0,0,0,0,8,9,0,101,org.apache.commons.lang.builder.EqualsBuilderTest.testReflectionHierarchyEquals,LANG,48
33,33,Lang Bug 9 - Weak Oracle,184,298,12,21,1,1,0,0,0,0,32,49,0,1,org.apache.commons.lang3.time.FastDateFormat_ParserTest.testDayOf,LANG,9
34,34,Lang Bug 34 - Weak Oracle,398,925,47,109,0,0,0,0,0,0,66,146,0,5,org.apache.commons.lang3.builder.DefaultToStringStyleTest.testLongArrayArray,LANG,34
35,35,Lang Bug 8 - Weak Oracle,117,117,14,14,0,0,2,2,0,0,15,15,0,8,org.apache.commons.lang3.time.FastDatePrinterTest.testFormat,LANG,8
36,36,Lang Bug 31 - Weak Oracle,49,49,8,8,0,0,0,0,0,0,4,4,0,4,org.apache.commons.lang3.StringUtilsEqualsIndexOfTest.testContainsAnyCharArrayWithSupplementaryChars,LANG,31
37,37,Lang Bug 26 - Weak Oracle,360,2207,36,257,2,15,1,4,3,23,48,214,0,4,org.apache.commons.lang3.time.DateUtilsRoundingTest.testTruncateMinute,LANG,26
38,38,Lang Bug 34 - Weak Oracle,234,266,35,40,0,0,0,0,0,0,36,39,0,11,org.apache.commons.lang3.builder.NoFieldNamesToStringStyleTest.testObject,LANG,34
39,39,Lang Bug 10 - Weak Oracle,766,5614,85,929,4,7,1,1,6,9,113,495,0,380,org.apache.commons.lang3.time.DurationFormatUtilsTest.testFormatPeriodISO,LANG,10
40,40,Lang Bug 31 - Weak Oracle,27,57,5,13,0,0,0,0,0,0,2,3,0,3,org.apache.commons.lang3.StringUtilsEqualsIndexOfTest.testContainsAny_StringChararray,LANG,31
41,41,Lang Bug 34 - Weak Oracle,13,13,2,2,0,0,0,0,0,0,5,5,0,4,org.apache.commons.lang3.builder.ToStringBuilderTest.testSimpleReflectionObjectCycle,LANG,34
42,42,Lang Bug 10 - Weak Oracle,435,698,33,62,4,7,1,1,6,9,63,90,0,380,org.apache.commons.lang3.time.DateUtilsTest.testLang530,LANG,10
43,43,Lang Bug 1 - Weak Oracle,119,124,16,17,0,0,1,1,0,0,15,15,0,2,org.apache.commons.lang3.StringUtilsTest.testReverseDelimited_StringChar,LANG,1
44,44,Lang Bug 18 - Weak Oracle,259,762,23,119,0,0,1,5,0,0,23,56,0,2,org.apache.commons.lang3.time.FastDateFormatTest.test_changeDefault_Locale_DateInstance,LANG,18
45,45,Lang Bug 57 - Weak Oracle,11,11,2,2,0,0,0,0,0,0,3,3,0,1,org.apache.commons.lang.LocaleUtilsTest.testLocaleLookupList_LocaleLocale,LANG,57
46,46,Lang Bug 34 - Weak Oracle,235,287,37,46,0,0,0,0,0,0,37,42,0,12,org.apache.commons.lang3.ArrayUtilsTest.testToString,LANG,34
47,47,Lang Bug 61 - Weak Oracle,103,538,16,131,0,0,0,0,0,0,7,10,0,4,org.apache.commons.lang.text.StrBuilderTest.testIndexOf_String,LANG,61
48,48,Lang Bug 9 - Weak Oracle,126,189,8,13,0,0,0,0,0,0,27,37,0,1,org.apache.commons.lang3.time.FastDateParserTest.testMilleniumBug,LANG,9
49,49,Lang Bug 9 - Weak Oracle,166,220,13,21,0,0,1,3,0,0,21,24,0,3,org.apache.commons.lang3.time.FastDateFormatTest.test_getInstance_String_TimeZone,LANG,9
50,50,Lang Bug 19 - Weak Oracle,206,405,40,88,0,0,0,0,0,0,25,48,0,1,org.apache.commons.lang3.text.translate.NumericEntityUnescaperTest.testSupplementaryUnescaping,LANG,19
51,51,Lang Bug 34 - Weak Oracle,13,13,2,2,0,0,0,0,0,0,5,5,0,5,org.apache.commons.lang3.builder.ToStringBuilderTest.testReflectionObjectArray,LANG,34
52,52,Lang Bug 34 - Weak Oracle,261,298,41,48,0,0,0,0,0,0,42,45,0,8,org.apache.commons.lang3.builder.ToStringBuilderTest.testSimpleReflectionStatics,LANG,34
53,53,Lang Bug 9 - Weak Oracle,92,222,7,22,0,0,0,0,0,0,13,23,0,3,org.apache.commons.lang3.time.FastDateFormatTest.testCheckDifferingStyles,LANG,9
54,54,Lang Bug 34 - Weak Oracle,306,343,48,56,0,0,0,0,0,0,52,54,0,2,org.apache.commons.lang3.builder.ToStringBuilderTest.testReflectionBoolean,LANG,34
55,55,Lang Bug 9 - Weak Oracle,206,573,11,28,1,1,0,0,0,0,44,98,0,160,org.apache.commons.lang3.time.FastDateParserTest.testLocales_LongNoEra_AD,LANG,9
56,56,Lang Bug 53 - Weak Oracle,126,387,14,48,0,0,1,1,1,4,10,19,0,47,org.apache.commons.lang.time.DateUtilsTest.testTruncate,LANG,53
57,57,Lang Bug 53 - Weak Oracle,150,411,18,52,0,0,2,2,1,4,12,21,0,47,org.apache.commons.lang.time.DateUtilsTest.testTruncate,LANG,53
58,58,Lang Bug 60 - Weak Oracle,26,415,4,110,0,0,0,0,0,0,2,2,0,5,org.apache.commons.lang.text.StrBuilderTest.testIndexOf_char,LANG,60
59,59,Lang Bug 13 - Weak Oracle,56,56,8,8,0,0,0,0,0,0,6,6,0,3,org.apache.commons.lang3.CharRangeTest.testSerialization,LANG,13
60,60,Lang Bug 18 - Weak Oracle,201,306,18,35,0,0,1,3,0,0,17,23,0,2,org.apache.commons.lang3.time.FastDateFormatTest.test_getInstance_String,LANG,18
61,61,Lang Bug 26 - Weak Oracle,151,381,11,38,2,5,0,0,2,5,23,49,0,4,org.apache.commons.lang3.time.DateFormatUtilsTest.testFormatUTC,LANG,26
62,62,Lang Bug 13 - Weak Oracle,36,36,2,2,0,0,0,0,0,0,11,11,0,2,org.apache.commons.lang3.SerializationUtilsTest.testPrimitiveTypeClassSerialization,LANG,13
63,63,Lang Bug 9 - Weak Oracle,368,728,16,36,1,1,0,0,0,0,81,134,0,43,org.apache.commons.lang3.time.FastDateParserTest.testLocales_Short_AD,LANG,9
64,64,Lang Bug 41 - Weak Oracle,290,316,36,37,0,0,0,0,0,0,49,54,0,5,org.apache.commons.lang.builder.StandardToStringStyleTest.testAppendSuper,LANG,41
65,65,Lang Bug 34 - Weak Oracle,291,358,36,43,0,0,0,0,0,0,47,56,0,1,org.apache.commons.lang3.builder.StandardToStringStyleTest.testPerson,LANG,34
66,66,Lang Bug 34 - Weak Oracle,13,13,2,2,0,0,0,0,0,0,5,5,0,7,org.apache.commons.lang3.builder.ToStringBuilderTest.testReflectionLongArray,LANG,34
67,67,Lang Bug 38 - Weak Oracle,9,9,1,1,0,0,0,0,0,0,2,2,0,1,org.apache.commons.lang3.time.FastDateFormatTest.testMilleniumBug,LANG,38
68,68,Lang Bug 2 - Weak Oracle,17,17,1,1,0,0,0,0,0,0,4,4,0,3,org.apache.commons.lang3.StringUtilsTest.testJoin_Objectarray,LANG,2
69,69,Lang Bug 10 - Weak Oracle,579,50111,42,5060,1,11,0,0,0,0,104,8088,0,67,org.apache.commons.lang3.time.FastDateParserTest.testLocales_ShortNoEra_AD,LANG,10
70,70,Lang Bug 57 - Weak Oracle,11,11,2,2,0,0,0,0,0,0,3,3,0,1,org.apache.commons.lang.LocaleUtilsTest.testToLocale_1Part,LANG,57
71,71,Lang Bug 25 - Weak Oracle,9,9,0,0,0,0,0,0,0,0,3,3,0,1,org.apache.commons.lang3.text.translate.EntityArraysTest.testISO8859_1_ESCAPE,LANG,25
72,72,Lang Bug 48 - Weak Oracle,28,30,4,4,0,0,0,0,0,0,3,3,0,24,org.apache.commons.lang.StringUtilsTest.testSplitByCharacterTypeCamelCase,LANG,48
73,73,Lang Bug 12 - Weak Oracle,88,2268,16,697,0,0,0,0,0,0,8,173,0,34,org.apache.commons.lang3.RandomStringUtilsTest.testRandomStringUtils,LANG,12
74,74,Lang Bug 4 - Weak Oracle,253,448,36,76,0,0,0,0,0,0,41,76,0,306,org.apache.commons.lang3.StringEscapeUtilsTest.testUnescapeJava,LANG,4
75,75,Lang Bug 30 - Weak Oracle,47,47,7,7,0,0,0,0,0,0,5,5,0,2,org.apache.commons.lang3.StringUtilsEqualsIndexOfTest.testIndexOfAny_StringStringWithSupplementaryChars,LANG,30
76,76,Lang Bug 26 - Weak Oracle,221,1273,19,137,2,15,0,0,2,15,37,164,0,4,org.apache.commons.lang3.time.DateUtilsRoundingTest.testTruncateMilliSecond,LANG,26
77,77,Lang Bug 59 - Weak Oracle,111,381,11,38,0,0,0,0,0,0,9,19,0,3,org.apache.commons.lang.text.StrBuilderAppendInsertTest.testAppendFixedWidthPadRight,LANG,59
78,78,Lang Bug 58 - Weak Oracle,374,2549,63,452,0,0,0,0,0,0,49,270,0,1,org.apache.commons.lang.math.NumberUtilsTest.testIsNumber,LANG,58
79,79,Lang Bug 41 - Weak Oracle,35,35,3,3,0,0,0,0,0,0,6,6,0,3,org.apache.commons.lang.ClassUtilsTest.test_getShortClassName_Class,LANG,41
80,80,Lang Bug 34 - Weak Oracle,439,1016,51,118,0,0,0,0,0,0,76,166,0,1,org.apache.commons.lang3.builder.StandardToStringStyleTest.testLongArray,LANG,34
81,81,Lang Bug 34 - Weak Oracle,390,960,44,110,0,0,0,0,0,0,66,150,0,1,org.apache.commons.lang3.builder.DefaultToStringStyleTest.testLongArray,LANG,34
82,82,Lang Bug 9 - Weak Oracle,262,717,21,64,3,7,0,0,3,7,38,90,0,1,org.apache.commons.lang3.time.FastDateFormat_PrinterTest.testSimpleDate,LANG,9
83,83,Lang Bug 55 - Weak Oracle,22,22,2,2,0,0,0,0,0,0,3,3,0,1,org.apache.commons.lang.time.StopWatchTest.testBadStates,LANG,55
84,84,Lang Bug 14 - Weak Oracle,232,1333,16,115,0,0,0,0,0,0,54,331,0,1,org.apache.commons.lang3.exception.ContextedExceptionTest.testAddContextValue,LANG,14
85,85,Lang Bug 5 - Weak Oracle,61,61,11,11,0,0,0,0,0,0,14,14,0,5,org.apache.commons.lang3.LocaleUtilsTest.testToLocale_3Part,LANG,5
86,86,Lang Bug 31 - Weak Oracle,70,562,13,145,0,0,0,0,0,0,8,26,0,5,org.apache.commons.lang3.StringEscapeUtilsTest.testUnescapeCsvString,LANG,31
87,87,Lang Bug 30 - Weak Oracle,27,111,5,28,0,0,0,0,0,0,2,4,0,12,org.apache.commons.lang3.StringUtilsEqualsIndexOfTest.testContainsNone_CharArray,LANG,30
88,88,Lang Bug 18 - Weak Oracle,409,853,43,103,2,2,0,0,2,2,51,99,0,1,org.apache.commons.lang3.time.FastDateFormatTest.testLang303,LANG,18
89,89,Lang Bug 52 - Weak Oracle,20,20,3,3,0,0,0,0,0,0,3,3,0,95,org.apache.commons.lang.StringEscapeUtilsTest.testEscapeJavaScript,LANG,52
90,90,Lang Bug 10 - Weak Oracle,85,85,9,9,0,0,0,0,0,0,15,15,0,1,org.apache.commons.lang3.time.FastDateParserTest.testPatternMatches,LANG,10
91,91,Lang Bug 4 - Weak Oracle,46,97,8,17,0,0,0,0,0,0,7,15,0,19,org.apache.commons.lang3.StringEscapeUtilsTest.testLang313,LANG,4
92,92,Lang Bug 44 - Weak Oracle,103,103,15,15,0,0,0,0,0,0,20,20,0,1,org.apache.commons.lang.NumberUtilsTest.testLang457,LANG,44
93,93,Lang Bug 10 - Weak Oracle,451,1080,25,78,1,1,0,0,0,0,93,197,0,16508,org.apache.commons.lang3.time.FastDateParserTest.testLocales_Long_AD,LANG,10
94,94,Lang Bug 38 - Weak Oracle,9,9,1,1,0,0,0,0,0,0,2,2,0,3,org.apache.commons.lang3.time.FastDateFormatTest.testSimpleDate,LANG,38
95,95,Lang Bug 34 - Weak Oracle,13,13,2,2,0,0,0,0,0,0,5,5,0,4,org.apache.commons.lang3.builder.ToStringBuilderTest.testReflectionArrayCycle,LANG,34
96,96,Lang Bug 41 - Weak Oracle,406,1933,45,187,0,0,0,0,0,0,69,352,0,1,org.apache.commons.lang.builder.SimpleToStringStyleTest.testObject,LANG,41
97,97,Lang Bug 2 - Weak Oracle,75,75,13,13,0,0,0,0,0,0,17,17,0,5,org.apache.commons.lang3.LocaleUtilsTest.testToLocale_3Part,LANG,2
98,98,Lang Bug 18 - Weak Oracle,448,1290,45,164,0,0,1,6,0,0,49,131,0,1,org.apache.commons.lang3.time.FastDateFormatTest.test_getInstance,LANG,18
99,99,Lang Bug 41 - Weak Oracle,433,2227,48,217,0,0,0,0,0,0,78,442,0,1,org.apache.commons.lang.builder.NoFieldNamesToStringStyleTest.testObject,LANG,41
100,100,Lang Bug 60 - Weak Oracle,113,117,11,13,0,0,0,0,0,0,8,8,0,10,org.apache.commons.lang.text.StrBuilderTest.testReplaceAll_String_String,LANG,60
101,101,Lang Bug 18 - Weak Oracle,469,1297,48,142,3,7,0,0,3,7,57,150,0,1,org.apache.commons.lang3.time.FastDateFormatTest.testSimpleDate,LANG,18
102,102,Lang Bug 38 - Weak Oracle,216,581,29,78,0,0,2,2,1,5,19,31,0,3,org.apache.commons.lang3.time.DateUtilsRoundingTest.testRoundMonth,LANG,38
103,103,Lang Bug 38 - Weak Oracle,185,640,25,86,0,0,2,2,1,6,16,31,0,4,org.apache.commons.lang3.time.DateUtilsRoundingTest.testTruncateYear,LANG,38
104,104,Lang Bug 2 - Weak Oracle,47,47,7,7,0,0,0,0,0,0,12,12,0,12,org.apache.commons.lang3.LocaleUtilsTest.testToLocale_1Part,LANG,2
105,105,Lang Bug 9 - Weak Oracle,229,366,19,38,0,0,1,5,0,0,26,33,0,3,org.apache.commons.lang3.time.FastDateFormatTest.testTimeDefaults,LANG,9
106,106,Lang Bug 48 - Weak Oracle,26,28,4,4,0,0,0,0,0,0,2,2,0,6,org.apache.commons.lang.builder.EqualsBuilderTest.testObjectArrayHiddenByObject,LANG,48
107,107,Lang Bug 9 - Weak Oracle,221,553,12,31,1,1,0,0,0,0,46,94,0,159,org.apache.commons.lang3.time.FastDateParserTest.testLocales_Short_BC,LANG,9
108,108,Lang Bug 11 - Weak Oracle,23,23,3,3,0,0,0,0,0,0,3,3,0,1,org.apache.commons.lang3.RandomStringUtilsTest.testLANG807,LANG,11
109,109,Lang Bug 9 - Weak Oracle,157,342,11,25,1,1,0,0,0,0,31,62,0,1,org.apache.commons.lang3.time.FastDateParserTest.testQuotes,LANG,9
110,110,Lang Bug 34 - Weak Oracle,257,366,40,64,0,0,0,0,0,0,40,49,0,9,org.apache.commons.lang3.text.StrTokenizerTest.test1,LANG,34
111,111,Lang Bug 9 - Weak Oracle,354,1110,18,85,3,15,2,6,5,21,48,127,0,2,org.apache.commons.lang3.time.DateFormatUtilsTest.testTimeNoTISO,LANG,9
112,112,Lang Bug 34 - Weak Oracle,401,1069,47,127,0,0,0,0,0,0,67,162,0,5,org.apache.commons.lang3.builder.MultiLineToStringStyleTest.testLongArrayArray,LANG,34
113,113,Lang Bug 10 - Weak Oracle,419,731,34,79,0,0,1,6,0,0,57,86,0,2,org.apache.commons.lang3.time.FastDateFormatTest.test_getInstance,LANG,10
114,114,Lang Bug 17 - Weak Oracle,130,6487,16,930,0,0,0,0,0,0,16,498,0,1,org.apache.commons.lang3.StringEscapeUtilsTest.testEscapeJavaWithSlash,LANG,17
115,115,Lang Bug 10 - Weak Oracle,259,2942,18,231,0,0,2,28,0,0,49,587,0,1,org.apache.commons.lang3.time.FastDateParserTest.test_Equality_Hash,LANG,10
116,116,Lang Bug 9 - Weak Oracle,169,198,10,15,1,1,0,0,1,1,26,28,0,1,org.apache.commons.lang3.time.FastDateFormat_PrinterTest.testLang645,LANG,9
117,117,Lang Bug 2 - Weak Oracle,59,59,9,9,0,0,0,0,0,0,14,14,0,10,org.apache.commons.lang3.LocaleUtilsTest.testLang865,LANG,2
118,118,Lang Bug 15 - Weak Oracle,17,17,2,2,0,0,0,0,0,0,4,4,0,5,org.apache.commons.lang3.reflect.TypeUtilsTest.testGetTypeArguments,LANG,15
119,119,Lang Bug 17 - Weak Oracle,106,318,13,48,0,0,0,0,0,0,19,46,0,1,org.apache.commons.lang3.text.translate.NumericEntityEscaperTest.testBelow,LANG,17
120,120,Lang Bug 34 - Weak Oracle,13,13,2,2,0,0,0,0,0,0,5,5,0,5,org.apache.commons.lang3.builder.ToStringBuilderTest.testSelfInstanceTwoVarsReflectionObjectCycle,LANG,34
121,121,Lang Bug 63 - Weak Oracle,178,319,22,44,0,0,5,5,0,0,19,25,0,1,org.apache.commons.lang.time.DurationFormatUtilsTest.testJiraLang281,LANG,63
122,122,Lang Bug 17 - Weak Oracle,107,323,12,44,0,0,0,0,0,0,15,32,0,1,org.apache.commons.lang3.StringEscapeUtilsTest.testLang720,LANG,17
123,123,Lang Bug 41 - Weak Oracle,21,21,3,3,0,0,0,0,0,0,4,4,0,5,org.apache.commons.lang.ClassUtilsTest.test_getPackageCanonicalName_Class,LANG,41
124,124,Lang Bug 41 - Weak Oracle,24,24,3,3,0,0,0,0,0,0,5,5,0,5,org.apache.commons.lang.ClassUtilsTest.test_getPackageCanonicalName_Class,LANG,41
125,125,Lang Bug 34 - Weak Oracle,370,772,44,90,0,0,0,0,0,0,56,111,0,5,org.apache.commons.lang3.builder.SimpleToStringStyleTest.testObjectArray,LANG,34
126,126,Lang Bug 32 - Weak Oracle,64,72,9,9,0,0,0,0,0,0,12,14,0,180,org.apache.commons.lang3.builder.HashCodeBuilderAndEqualsBuilderTest.testFixtureWithTransients,LANG,32
127,127,Lang Bug 34 - Weak Oracle,234,266,35,40,0,0,0,0,0,0,36,39,0,11,org.apache.commons.lang3.builder.ToStringBuilderTest.testObject,LANG,34
128,128,Lang Bug 26 - Weak Oracle,374,2556,40,300,2,15,2,4,3,27,44,226,0,3,org.apache.commons.lang3.time.DateUtilsRoundingTest.testRoundDate,LANG,26
129,129,Lang Bug 19 - Weak Oracle,136,192,18,34,0,0,0,0,0,0,17,19,0,11,org.apache.commons.lang3.StringEscapeUtilsTest.testEscapeXml,LANG,19
130,130,Lang Bug 9 - Weak Oracle,425,1704,24,145,4,21,2,6,6,27,59,199,0,2,org.apache.commons.lang3.time.DateFormatUtilsTest.testDateTimeISO,LANG,9
131,131,Lang Bug 6 - Weak Oracle,83,107,12,19,0,0,0,0,0,0,12,14,0,1,org.apache.commons.lang3.text.translate.NumericEntityEscaperTest.testAbove,LANG,6
132,132,Lang Bug 52 - Weak Oracle,104,277,12,42,0,0,1,1,0,0,30,73,0,110,org.apache.commons.lang.StringEscapeUtilsTest.testEscapeJava,LANG,52
133,133,Lang Bug 53 - Weak Oracle,214,525,24,68,0,0,1,1,1,4,23,42,0,378,org.apache.commons.lang.time.DateUtilsTest.testWeekIterator,LANG,53
134,134,Lang Bug 53 - Weak Oracle,238,549,28,72,0,0,2,2,1,4,25,44,0,378,org.apache.commons.lang.time.DateUtilsTest.testWeekIterator,LANG,53
135,135,Lang Bug 41 - Weak Oracle,32,32,4,4,0,0,0,0,0,0,5,5,0,5,org.apache.commons.lang.ClassUtilsTest.test_getShortCanonicalName_Object,LANG,41
136,136,Lang Bug 34 - Weak Oracle,408,978,50,116,0,0,0,0,0,0,66,150,0,1,org.apache.commons.lang3.builder.ToStringBuilderTest.testFloatArray,LANG,34
137,137,Lang Bug 10 - Weak Oracle,133,263,14,29,0,0,0,0,0,0,18,28,0,12,org.apache.commons.lang3.time.FastDateFormatTest.testCheckDifferingStyles,LANG,10
138,138,Lang Bug 10 - Weak Oracle,113,113,11,11,0,0,0,0,0,0,17,17,0,244,org.apache.commons.lang3.time.FastDateFormat_ParserTest.testLocaleMatches,LANG,10
139,139,Lang Bug 34 - Weak Oracle,303,491,47,81,0,0,0,0,0,0,52,88,0,1,org.apache.commons.lang3.builder.ToStringBuilderTest.testReflectionInteger,LANG,34
140,140,Lang Bug 65 - Weak Oracle,195,296,24,39,0,0,2,2,1,1,19,27,0,1,org.apache.commons.lang.time.DateUtilsTest.testTruncateLang59,LANG,65
141,141,Lang Bug 14 - Weak Oracle,47,48,6,7,0,0,0,0,0,0,9,9,0,15,org.apache.commons.lang3.exception.ContextedExceptionTest.testGetFirstContextValue,LANG,14
142,142,Lang Bug 61 - Weak Oracle,134,182,16,24,0,0,0,0,0,0,12,15,0,1,org.apache.commons.lang.text.StrBuilderTest.testDeleteFirst_String,LANG,61
143,143,Lang Bug 38 - Weak Oracle,167,192,23,27,0,0,0,0,1,1,16,16,0,4,org.apache.commons.lang3.time.DateUtilsRoundingTest.testTruncateSecond,LANG,38
144,144,Lang Bug 60 - Weak Oracle,199,551,23,83,0,0,0,0,0,0,17,40,0,10,org.apache.commons.lang.text.StrBuilderTest.testDeleteAll_String,LANG,60
145,145,Lang Bug 48 - Weak Oracle,329,6948,49,1003,2,24,1,24,0,0,59,1525,0,6,org.apache.commons.lang.builder.HashCodeBuilderAndEqualsBuilderTest.testFixture,LANG,48
146,146,Lang Bug 48 - Weak Oracle,19,19,2,2,0,0,0,0,0,0,3,3,0,1,org.apache.commons.lang.builder.EqualsBuilderTest.testBigDecimal,LANG,48
147,147,Lang Bug 9 - Weak Oracle,164,960,12,70,1,3,0,0,0,0,37,172,0,1,org.apache.commons.lang3.time.FastDateParserTest.testParseZone,LANG,9
148,148,Lang Bug 9 - Weak Oracle,174,359,10,24,1,1,0,0,0,0,31,62,0,1,org.apache.commons.lang3.time.FastDateFormat_ParserTest.testLang538,LANG,9
